mwyaf,mawr,Adj,Adj.seith,18
cyson,cyson,Adj,Adj.masc.sg,8
amlwg,amlwg,Adj,Adj.masc.sg,14
dedwydd,dedwydd,Adj,Adj.masc.sg,4
gymaint,cymaint,Adj,Adj.masc.sg,12
ol,ôl,Adj,Adj.masc.sg,205
dywyll,tywyll,Adj,Adj.masc.sg,2
gymylog,cymylog,Adj,Adj.masc.sg,1
bygythiol,bygwth,Adj,Adj.masc.sg,2
chwimwth,chwimwth,Adj,Adj.masc.sg,1
carpiog,carp,Adj,Adj.masc.sg,1
rhuddgoch,rhuddgoch,Adj,Adj.masc.sg,1
thywyll,tywyll,Adj,Adj.masc.sg,2
brin,prin,Adj,Adj.masc.sg,5
nes,agos,Adj,Adj.cym,131
pryderus,pryderus,Adj,Adj.masc.sg,1
angerddol,angerddol,Adj,Adj.masc.sg,5
bryderus,pryderus,Adj,Adj.masc.sg,8
druenus,truenus,Adj,Adj.masc.sg,5
hwy,hwy,Adj,Adj.masc.sg,6
feiddgar,beiddgar,Adj,Adj.masc.sg,1
rhamantus,rhamantus,Adj,Adj.masc.sg,1
werthfawr,gwerthfawr,Adj,Adj.masc.sg,1
barod,parod,Adj,Adj.masc.sg,24
fer,fer,Adj,Adj.fem.sg,4
phriod,priod,Adj,Adj.masc.sg,2
ddedwydd,dedwydd,Adj,Adj.masc.sg,7
felus,melys,Adj,Adj.masc.sg,5
alarus,galarus,Adj,Adj.masc.sg,2
mynych,mynych,Adj,Adj.masc.sg,1
ymddangosiadol,ymddangosiadol,Adj,Adj.masc.sg,1
bychain,bychan,Adj,Adj.masc.sg,8
anrhydeddus,anrhydeddus,Adj,Adj.masc.sg,2
ieuainc,ieuainc,Adj,Adj.masc.sg,7
anwylyd,anwylyd,Adj,Adj.masc.sg,6
hwyrach,hwyr,Adj,Adj.cym,28
anamserol,anamserol,Adj,Adj.masc.sg,1
diraddiol,diraddiol,Adj,Adj.masc.sg,1
enbydus,enbydus,Adj,Adj.masc.sg,1
nesaf,agos,Adj,Adj.seith,12
arall,arall,Adj,Adj.masc.sg,141
heddychol,heddychol,Adj,Adj.masc.sg,2
thawel,tawel,Adj,Adj.masc.sg,1
foddlawn,bodlon,Adj,Adj.masc.sg,2
unrhyw,unrhyw,Adj,Adj.masc.sg,5
drugarog,trugarog,Adj,Adj.masc.sg,4
drwg,drwg,Adj,Adj.masc.sg,22
hynod,hynod,Adj,Adj.masc.sg,12
anesmwyth,esmwyth,Adj,Adj.masc.sg,6
gyfryw,cyfryw,Adj,Adj.masc.sg,3
wahanol,gwahanol,Adj,Adj.masc.sg,8
hoff,hoff,Adj,Adj.masc.sg,25
foch,moch,Adj,Adj.masc.sg,3
poeth,poeth,Adj,Adj.masc.sg,6
rudd,rhudd,Adj,Adj.masc.sg,7
ddiofal,diofal,Adj,Adj.masc.sg,1
tadol,tadol,Adj,Adj.masc.sg,1
dyner,tyner,Adj,Adj.masc.sg,8
eofn,eofn,Adj,Adj.masc.sg,3
phenderfynol,penderfynol,Adj,Adj.masc.sg,1
fileinig,mileinig,Adj,Adj.masc.sg,1
anghyfiawn,anghyfiawn,Adj,Adj.masc.sg,1
drygionus,drygionus,Adj,Adj.masc.sg,1
gref,cryf,Adj,Adj.masc.sg,10
fuan,buan,Adj,Adj.masc.sg,25
dyfnion,dyfnion,Adj,Adj.masc.sg,3
gwyn,gwyn,Adj,Adj.masc.sg,55
