addas,adj
addfed,adj
addolgar,adj
adnabyddus,adj
aflonydd,adj
aflwyddiannus,adj
afresymol,adj
agosach,adj
agosaf,adj
alluog,adj
amgen,adj
amgenach,adj
amlaf,adj
amlyca,adj
amserol,adj
amyneddgar,adj
analluog,adj
anaml,adj
anamserol,adj
aneglur,adj
anfad,adj
anfaddeuol,adj
anfarwol,adj
anfeidrol,adj
angharedig,adj
anghelfydd,adj
anghenus,adj
anghyfiawn,adj
angylaidd,adj
anhyfryd,adj
anhygyrch,adj
anhysbys,adj
annaturiol,adj
annhraethadwy,adj
annhraethol,adj
annhrefnus,adj
anniddorol,adj
annifyr,adj
annwyl,adj
annymunol,adj
anobeithiol,adj
anocheladwy,adj
anuniongyrchol,adj
anwadal,adj
arfog,adj
argraffedig,adj
ariannog,adj
awdurdodol,adj
balch,adj
barhaus,adj
bâs,adj
bella,adj
bendefigaidd,adj
ber,adj
berwedig,adj
blac,adj
blaenaf,adj
blaenorol,adj
blygedig,adj
boreuol,adj
bosib,adj
brafiach,adj
bras,adj
bregus,adj
bresennol,adj
brif,adj
briodasol,adj
brofiadol,adj
bruddglwyfus,adj
brwd,adj
brysur,adj
buddiol,adj
budr,adj
byddarol,adj
bydol,adj
byrra,adj
bythol,adj
caboledig,adj
caredig,adj
carpiog,adj
cerfiedig,adj
chiaidd,adj
chraff,adj
chroch,adj
chwilfriw,adj
chwilfrydig,adj
chwimwth,adj
chwyddedig,adj
chyffredin,adj
chystuddiedig,adj
chywir,adj
ciaidd,adj
clwyfedig,adj
clwyfus,adj
cochion,adj
colledig,adj
crai,adj
cribog,adj
crwydrol,adj
cry,adj
cryfion,adj
cryn,adj
cudd,adj
cun,adj
cwbl,adj
cyfa,adj
cyfaddef,adj
cyfion,adj
cyfleus,adj
cyfoethog,adj
cyhoeddus,adj
cynefin,adj
cynhyrfus,adj
cynifer,adj
cynyddol,adj
cyrliog,adj
cystal,adj
cystuddiedig,adj
cysurlon,adj
cysurus,adj
cywir,adj
daclus,adj
danbaid,adj
danllyd,adj
darawiadol,adj
dawdd,adj
ddaer,adj
ddamweiniol,adj
ddeiliog,adj
ddel,adj
ddiamddiffyn,adj
ddiamheuol,adj
ddiarbed,adj
ddiarth,adj
ddibaid,adj
ddiddorol,adj
ddiddos,adj
ddideimlad,adj
ddidwyll,adj
ddigalon,adj
ddilynol,adj
ddilys,adj
ddioed,adj
ddiofal,adj
ddiogel,adj
ddiolchgar,adj
ddiri,adj
ddisglair,adj
ddisymwth,adj
ddiwyd,adj
ddiymadferth,adj
ddiymdroi,adj
ddoeth,adj
ddolefus,adj
ddoniol,adj
ddwfn,adj
ddwyflwydd,adj
ddwyn,adj
debycach,adj
deg,adj
delach,adj
delynegol,adj
dêr,adj
derfynol,adj
dewisol,adj
dialgar,adj
diamheuol,adj
dichellgar,adj
difeddwl,adj
diferol,adj
diffuant,adj
difri,adj
difyr,adj
diogel,adj
diplomyddol,adj
diraddiol,adj
direswm,adj
dirgel,adj
dirgelaidd,adj
diri,adj
dirifedi,adj
dirmygus,adj
dirodres,adj
diwerth,adj
diymhongar,adj
doeth,adj
dolurus,adj
dragwyddol,adj
drahaus,adj
dramor,adj
drech,adj
drygionus,adj
drymach,adj
dwbwl,adj
dymunol,adj
dynn,adj
dysgedig,adj
dywededig,adj
dywyll,adj
effeithiol,adj
effro,adj
eglur,adj
eiddigus,adj
eithafol,adj
enbydus,adj
enedigol,adj
ëon,adj
esgeulus,adj
estronol,adj
estynedig,adj
etholedig,adj
eurog,adj
fabwysiedig,adj
fall,adj
fân,adj
fawreddog,adj
feiddgar,adj
fendigedig,adj
ferth,adj
ffiaidd,adj
ffodus,adj
ffrwythlon,adj
ffwndrus,adj
ffyddiog,adj
fileinig,adj
filwrol,adj
flasus,adj
flin,adj
foreuol,adj
fraith,adj
fugeiliol,adj
fwaog,adj
fwy,adj
fwyfwy,adj
fyddar,adj
fyddarol,adj
fydenwog,adj
fygythiol,adj
fyr,adj
fyrbwyll,adj
gadarn,adj
galarus,adj
gall,adj
galonnog,adj
gam,adj
ganlynol,adj
garadog,adj
garegog,adj
gawr,adj
geirwir,adj
gerfiedig,adj
glâs,adj
gledd,adj
gliriach,adj
gloyw,adj
glwyfus,adj
glyd,adj
goeth,adj
goleuach,adj
golledig,adj
goruchel,adj
gosod,adj
graen,adj
grebachlyd,adj
grefyddol,adj
greulawn,adj
gri,adj
grog,adj
