díogach,diːɡəx
crúbadach,krʊ́badax
craobhach,kraɔvax
síprisín,sɪ́prɪsɪ́n
éiceolaíoch,ɛ́ɪkɔːlaː́ɔx
baothracht,baɔhraxt
eagraíocht,æɡraː́ɔxt
gairgín,ɡaːrɡɪ́n
foscúlacht,fɔskʊ́laxt
caochóg,kaɔxɔ́ɡ
míchuma,mɪ́xʊma
rachlas,raxlas
criogar,krɔːɡar
frithdhílsí,frɪhɣɪ́lsɪ́
ateacht,atæxt
aspach,aspax
spiriméadar,spɪrɪmɛ́adar
smóladán,smɔ́ladán
Cuáit,Cʊə́ɪt
graifne,ɡraːfnɛ
Cairibeach,Caːrɪbæx
danaideach,danaːdæx
saorchlann,saɔrxlanˠ
tromghiallach,trɔmɣɪalˠax
mantachán,mantaxán
mí-áisiúil,mɪ́-áɪsɪʊ́ɪl
daibhir,daːvɪr
neamhthorthúil,nævhɔrhʊ́ɪl
crandacht,krandaxt
ursain,ʊrsaːn
cnaíteachán,knaː́tæxán
marú,marʊ́
ciallaigh,kɪalˠaːɣ
strainc,straːnk
trumpadóireacht,trʊmpadɔ́ɪræxt
núiclíneach,nʊ́ɪklɪ́næx
críonóideach,krɪ́ɔnɔ́ɪdæx
bindealán,bɪndælán
heaptán,hæptán
beoir,bɔːɪr
sireacó,sɪrækɔ́
caiticeasmach,kaːtɪkæsmax
treantán,træntán
fliuchán,flɪʊxán
sámhadh,sávaɣ
Panama,Panama
mantú,mantʊ́
ainfhírinne,aːnɪ́rɪnˠɛ
Saíceachas,Saː́kæxas
scan,skan
lámhchrannán,lávxranˠán
corrán,kɔrˠán
damhsóir,davsɔ́ɪr
tabhall,tavalˠ
fuaimlorg,fʊəːmlɔrɡ
míoleolaí,mɪ́ɔlɔːlaː́
fadhbh,faɣv
cistiúchán,kɪstɪʊ́xán
cripteagram,krɪptæɡram
lachtós,laxtɔ́s
scioteireaball,skɔːtɛɪræbalˠ
slinnteog,slɪnˠtɔːɡ
bainteoir,baːntɔːɪr
amfaibiach,amfaːbɪax
comhthreomharóid,kɔvhrɔːvarɔ́ɪd
caisleánach,kaːslǽnax
míbhinn,mɪ́vɪnˠ
dingí,dɪnɡɪ́
fiagaire,fɪaɡaːrɛ
ateagmhasach,atæɡvasax
nascadh,naskaɣ
insíothlú,ɪnsɪ́ɔhlʊ́
tamhnadh,tavnaɣ
tumchlogad,tʊmxlɔɡad
tuismitheoir,tʊɪsmɪhɔːɪr
doic,dɪːk
juncaed,jʊnkaɛd
so-lastacht,sɔ-lastaxt
forgach,fɔrɡax
coiliceach,kɪːlɪkæx
freangach,frænɡax
smuilceach,smʊɪlkæx
pacáil,pakáɪl
rothchreatlach,rɔhxrætlax
laoidh,laɪːɣ
dearlaiceach,dærlaːkæx
déshiolla,dɛ́hɔːlˠa
catheagar,kahæɡar
mionfhoghail,mɔːnɔɣaːl
Mahamadach,Mahamadax
meathchodlatach,mæhxɔdlatax
paol,paɔl
comhaontas,kɔvaɔntas
dobuar,dɔbʊər
camalanga,kamalanɡa
mapathagairt,mapahaɡaːrt
seiceáil,sɛɪkǽɪl
dithneas,dɪhnæs
cocbhád,kɔkvád
proimpíneach,prɪːmpɪ́næx
buídhuanóg,bʊɪ́ɣʊənɔ́ɡ
cromshlinneánach,krɔmhlɪnˠǽnax
meánúlacht,mǽnʊ́laxt
éaneolaí,ɛ́anɔːlaː́
císte,kɪ́stɛ
siopadóir,sɔːpadɔ́ɪr
cairdeolaí,kaːrdɔːlaː́
fliuchlach,flɪʊxlax
imchoimeádach,ɪmxɪːmǽdax
smaointeach,smaɪːntæx
sleasach,slæsax
sóisialachas,sɔ́ɪsɪalaxas
riochtán,rɔːxtán
feanúil,fænʊ́ɪl
gorach,ɡɔrax
morgthacht,mɔrɡhaxt
radagraf,radaɡraf
aigéadalú,aːɡɛ́adalʊ́
coimirceoir,kɪːmɪrkɔːɪr
oideachasóir,ɪːdæxasɔ́ɪr
óstach,ɔ́stax
toghthóir,tɔɣhɔ́ɪr
imlitir,ɪmlɪtɪr
eintiteas,ɛɪntɪtæs
tromstaidéar,trɔmstaːdɛ́ar
athcheangail,ahxænɡaːl
lasc-chlár,lask-xlár
gaisteach,ɡaːstæx
ceathairbhuilleach,kæhaːrvʊɪlˠæx
camchuaifeach,kamxʊəːfæx
clíomú,klɪ́ɔmʊ́
carr,karˠ
leamhaireacht,lævaːræxt
pionta,pɔːnta
aisíoc,aːsɪ́ɔk
amhra,avra
scrabhdóir,skravdɔ́ɪr
tiomnóir,tɔːmnɔ́ɪr
ordanáid,ɔrdanáɪd
séama,sɛ́ama
dea-ghoileach,dæ-ɣɪːlæx
saobhdhiallas,saɔvɣɪalˠas
coinbhéirsiú,kɪːnvɛ́ɪrsɪʊ́
mórdhíoltóir,mɔ́rɣɪ́ɔltɔ́ɪr
comhlathas,kɔvlahas
rinnfheitheamh,rɪnˠɛɪhæv
geall,ɡælˠ
tapaigh,tapaːɣ
preabach,præbax
crinn,krɪnˠ
col sliabh,kɔl slɪav
lathach,lahax
rélingeán,rɛ́lɪnɡǽn
aolgheal,aɔlɣæl
ardeaspag,ardæspaɡ
smiot,smɔːt
banscál,banskál
ballnasc,balˠnask
sprot,sprɔt
corprach,kɔrprax
tonnroc,tɔnˠrɔk
tromscéala,trɔmskɛ́ala
scarúnaí,skarʊ́naː́
oscar,ɔskar
dícheadal,dɪ́xædal
uilethrócaireach,ʊɪlɛhrɔ́kaːræx
neamh,næv
feisteán,fɛɪstǽn
plánaisféar,plánaːsfɛ́ar
catastróf,katastrɔ́f
scrábach,skrábax
driogáit,drɔːɡáɪt
bánrua,bánrʊə
scidil,skɪdɪl
ciseadóireacht,kɪsædɔ́ɪræxt
bogaigéadaigh,bɔɡaːɡɛ́adaːɣ
oilte,ɪːltɛ
rinn,rɪnˠ
smeachán,smæxán
léinteoireacht,lɛ́ɪntɔːɪræxt
seicitín,sɛɪkɪtɪ́n
ailgéabrach,aːlɡɛ́abrax
crabhaitéal,kravaːtɛ́al
beachtaíoch,bæxtaː́ɔx
fágálacht,fáɡálaxt
iallchrann,ɪalˠxranˠ
pirixéin,pɪrɪxɛ́ɪn
crocadóir,krɔkadɔ́ɪr
ulnach,ʊlnax
réisím,rɛ́ɪsɪ́m
máirtín,máɪrtɪ́n
purgú,pʊrɡʊ́
sealbhaíocht,sælvaː́ɔxt
rúndráma,rʊ́ndráma
bonnsmideadh,bɔnˠsmɪdæɣ
comhbhráithreachas,kɔvvráɪhræxas
saobhdhiallasach,saɔvɣɪalˠasax
suimiúlacht,sʊɪmɪʊ́laxt
craigirlín,kraːɡɪrlɪ́n
claid,klaːd
scúnc,skʊ́nk
géarleantóir,ɡɛ́arlæntɔ́ɪr
deirgín,dɛɪrɡɪ́n
clabhstrálaí,klavstrálaː́
ceimiteiripe,kɛɪmɪtɛɪrɪpɛ
comónta,kɔmɔ́nta
fiseagrafach,fɪsæɡrafax
méadúlacht,mɛ́adʊ́laxt
donnfhionn,dɔnˠɔːnˠ
práisciúil,práɪskɪʊ́ɪl
síonán,sɪ́ɔnán
doiléire,dɪːlɛ́ɪrɛ
stiogmach,stɔːɡmax
boilsceann,bɪːlskænˠ
frithfhórsa,frɪhɔ́rsa
íslitheoir,ɪ́slɪhɔːɪr
táirg,táɪrɡ
idirscoir,ɪdɪrskɪːr
láithreán,láɪhrǽn
silice,sɪlɪkɛ
cum,kʊm
biocáireacht,bɔːkáɪræxt
plúrán,plʊ́rán
uimhrigh,ʊɪvrɪɣ
neamhinniúlacht,nævɪnˠɪʊ́laxt
bunscríbhinn,bʊnskrɪ́vɪnˠ
scansáil,skansáɪl
galágó,ɡaláɡɔ́
aontaobhach,aɔntaɔvax
cis,kɪs
cealaitheach,kælaːhæx
crannteorainn,kranˠtɔːraːnˠ
athscinn,ahskɪnˠ
tuilsolas,tʊɪlsɔlas
mí-oilte,mɪ́-ɪːltɛ
táiríde,táɪrɪ́dɛ
airleacán,aːrlækán
soiléire,sɪːlɛ́ɪrɛ
síothaigh,sɪ́ɔhaːɣ
achoimre,axɪːmrɛ
ionfhabhtaíoch,ɔːnavtaː́ɔx
gráinseáil,ɡráɪnsǽɪl
scolpach,skɔlpax
margáil,marɡáɪl
dlaíóg,dlaː́ɔ́ɡ
aonaránach,aɔnaránax
bunúdar,bʊnʊ́dar
síolghé,sɪ́ɔlɣɛ́
gobdhearg,ɡɔbɣærɡ
raitín,raːtɪ́n
stópa,stɔ́pa
scailleagánta,skaːlˠæɡánta
plandlannaí,plandlanˠaː́
scineach,skɪnæx
neachtlann,næxtlanˠ
mífholláine,mɪ́ɔlˠáɪnɛ
fritocsain,frɪtɔksaːn
suibhiscéal,sʊɪvɪskɛ́al
slatáil,slatáɪl
beircéiliam,bɛɪrkɛ́ɪlɪam
bánéadanach,bánɛ́adanax
holagram,hɔlaɡram
foríseal,fɔrɪ́sæl
buanfhírinne,bʊənɪ́rɪnˠɛ
ruchall,rʊxalˠ
Acádach,Akádax
siúinéireacht,sɪʊ́ɪnɛ́ɪræxt
oiriúnóir,ɪːrɪʊ́nɔ́ɪr
garuncail,ɡarʊnkaːl
éislis,ɛ́ɪslɪs
neamhfhorásta,nævɔrásta
múirín,mʊ́ɪrɪ́n
cumasc,kʊmask
lánchaillteanas,lánxaːlˠtænas
garchabhair,ɡarxavaːr
ómrach,ɔ́mrax
urramú,ʊrˠamʊ́
drochruthagach,drɔxrʊhaɡax
scaballach,skabalˠax
staiféalach,staːfɛ́alax
banastar,banastar
saoltacht,saɔltaxt
easurramach,æsʊrˠamax
sracadh,srakaɣ
blaincéad,blaːnkɛ́ad
bunchineál,bʊnxɪnǽl
raingléireacht,raːnɡlɛ́ɪræxt
dílseacht,dɪ́lsæxt
fiannachtaí,fɪanˠaxtaː́
béal-líofa,bɛ́al-lɪ́ɔfa
caise,kaːsɛ
blonagach,blɔnaɡax
fortún,fɔrtʊ́n
sonáid,sɔnáɪd
éagnach,ɛ́aɡnax
monandrach,mɔnandrax
dorránacht,dɔrˠánaxt
blaoscán,blaɔskán
ionadacht,ɔːnadaxt
míshibhialta,mɪ́hɪvɪalta
anfhurasta,anʊrasta
réamhshuite,rɛ́avhʊɪtɛ
peireatóinéam,pɛɪrætɔ́ɪnɛ́am
ionchódóir,ɔːnxɔ́dɔ́ɪr
roll,rɔlˠ
ceirtleánach,kɛɪrtlǽnax
leigearn,lɛɪɡærn
bunchostas,bʊnxɔstas
feadánach,fædánax
intín,ɪntɪ́n
muscrós,mʊskrɔ́s
muiríneadóir,mʊɪrɪ́nædɔ́ɪr
dlisteanú,dlɪstænʊ́
múisc,mʊ́ɪsk
mionagadach,mɔːnaɡadax
ógh,ɔ́ɣ
diachas,dɪaxas
mínscothach,mɪ́nskɔhax
drochshampla,drɔxhampla
ceannoifig,kænˠɪːfɪɡ
micriliteach,mɪkrɪlɪtæx
seanchairt,sænxaːrt
creill,krɛɪlˠ
leardha,lærɣa
brogús,brɔɡʊ́s
scimeach,skɪmæx
foilseachán,fɪːlsæxán
siléar,sɪlɛ́ar
saotrún,saɔtrʊ́n
ráiseá,ráɪsǽ
neamhchéadfach,nævxɛ́adfax
reophointe,rɔːfɪːntɛ
neamhchoireach,nævxɪːræx
solasmhaire,sɔlasvaːrɛ
moilliú,mɪːlˠɪʊ́
saine,saːnɛ
leathchliathán,læhxlɪahán
poilcí,pɪːlkɪ́
caochán,kaɔxán
cógas,kɔ́ɡas
aiféaltas,aːfɛ́altas
calbhacht,kalvaxt
ochlán,ɔxlán
pantrach,pantrax
bogadh,bɔɡaɣ
ollaigh,ɔlˠaːɣ
aithris,aːhrɪs
oighearbhacainn,ɪːɣærvakaːnˠ
rianta,rɪanta
seolbhealach,sɔːlvælax
tornádó,tɔrnádɔ́
truaillitheach,trʊəːlˠɪhæx
comhláine,kɔvláɪnɛ
boilscigh,bɪːlskɪɣ
fritreo,frɪtrɔː
breallántacht,brælˠántaxt
argóin,arɡɔ́ɪn
pataigineach,pataːɡɪnæx
cocáil,kɔkáɪl
fad-droimneach,fad-drɪːmnæx
clochshalann,klɔxhalanˠ
slaparnach,slaparnax
raonchorn,raɔnxɔrn
rús,rʊ́s
cíle,kɪ́lɛ
díbreach,dɪ́bræx
maolán,maɔlán
satailt,sataːlt
mífhonn,mɪ́ɔnˠ
morgáistí,mɔrɡáɪstɪ́
adhair,aɣaːr
cumhdaitheoir,kʊvdaːhɔːɪr
taispeáint,taːspǽɪnt
slíúil,slɪ́ʊ́ɪl
roghbhlúire,rɔɣvlʊ́ɪrɛ
giúlánta,ɡɪʊ́lánta
idirthaoideach,ɪdɪrhaɪːdæx
cúlráideacht,kʊ́lráɪdæxt
napachán,napaxán
eiligiach,ɛɪlɪɡɪax
strus,strʊs
coibhneasacht,kɪːvnæsaxt
meangadh,mænɡaɣ
Romanaí,Rɔmanaː́
droimníneacht,drɪːmnɪ́næxt
blindeog,blɪndɔːɡ
seiftiú,sɛɪftɪʊ́
fuascail,fʊəskaːl
aischéimnigh,aːsxɛ́ɪmnɪɣ
míchaoithiúil,mɪ́xaɪːhɪʊ́ɪl
gastacht,ɡastaxt
braicheadóir,braːxædɔ́ɪr
sann,sanˠ
cúlchraos,kʊ́lxraɔs
crobhar,krɔvar
