díogach,diːɡəx
míbhinn,mɪvɪnˠ
dingí,dɪnɡɪ
fiagaire,fɪaɡaːrɛ
ateagmhasach,atæɡvasax
nascadh,naskaɣ
insíothlú,ɪnsɪɔhlʊ
tamhnadh,tavnaɣ
tumchlogad,tʊmxlɔɡad
tuismitheoir,tʊɪsmɪhɔːɪr
doic,dɪːk
juncaed,jʊnkaɛd
so-lastacht,sɔ-lastaxt
forgach,fɔrɡax
coiliceach,kɪːlɪkæx
freangach,frænɡax
smuilceach,smʊɪlkæx
pacáil,pakaɪl
rothchreatlach,rɔhxrætlax
laoidh,laɪːɣ
dearlaiceach,dærlaːkæx
déshiolla,dɛhɔːlˠa
catheagar,kahæɡar
mionfhoghail,mɔːnɔɣaːl
Mahamadach,mahamadax
meathchodlatach,mæhxɔdlatax
paol,paɔl
comhaontas,kɔvaɔntas
dobuar,dɔbʊər
camalanga,kamalanɡa
mapathagairt,mapahaɡaːrt
seiceáil,sɛɪkǽɪl
dithneas,dɪhnæs
cocbhád,kɔkvad
proimpíneach,prɪːmpɪnæx
buídhuanóg,bʊɪɣʊənɔɡ
cromshlinneánach,krɔmhlɪnˠǽnax
meánúlacht,mǽnʊlaxt
éaneolaí,ɛanɔːlaː
císte,kɪstɛ
siopadóir,sɔːpadɔɪr
cairdeolaí,kaːrdɔːlaː
fliuchlach,flɪʊxlax
imchoimeádach,ɪmxɪːmǽdax
smaointeach,smaɪːntæx
sleasach,slæsax
sóisialachas,sɔɪsɪalaxas
riochtán,rɔːxtan
feanúil,fænʊɪl
gorach,ɡɔrax
morgthacht,mɔrɡhaxt
radagraf,radaɡraf
aigéadalú,aːɡɛadalʊ
coimirceoir,kɪːmɪrkɔːɪr
oideachasóir,ɪːdæxasɔɪr
óstach,ɔstax
toghthóir,tɔɣhɔɪr
imlitir,ɪmlɪtɪr
eintiteas,ɛɪntɪtæs
tromstaidéar,trɔmstaːdɛar
athcheangail,ahxænɡaːl
lasc-chlár,lask-xlar
gaisteach,ɡaːstæx
ceathairbhuilleach,kæhaːrvʊɪlˠæx
camchuaifeach,kamxʊəːfæx
clíomú,klɪɔmʊ
carr,karˠ
leamhaireacht,lævaːræxt
pionta,pɔːnta
aisíoc,aːsɪɔk
amhra,avra
scrabhdóir,skravdɔɪr
tiomnóir,tɔːmnɔɪr
ordanáid,ɔrdanaɪd
séama,sɛama
dea-ghoileach,dæ-ɣɪːlæx
saobhdhiallas,saɔvɣɪalˠas
coinbhéirsiú,kɪːnvɛɪrsɪʊ
mórdhíoltóir,mɔrɣɪɔltɔɪr
comhlathas,kɔvlahas
rinnfheitheamh,rɪnˠɛɪhæv
geall,ɡælˠ
tapaigh,tapaːɣ
preabach,præbax
crinn,krɪnˠ
col sliabh,kɔl slɪav
lathach,lahax
rélingeán,rɛlɪnɡǽn
aolgheal,aɔlɣæl
ardeaspag,ardæspaɡ
smiot,smɔːt
banscál,banskal
ballnasc,balˠnask
sprot,sprɔt
corprach,kɔrprax
tonnroc,tɔnˠrɔk
tromscéala,trɔmskɛala
scarúnaí,skarʊnaː
oscar,ɔskar
dícheadal,dɪxædal
uilethrócaireach,ʊɪlɛhrɔkaːræx
neamh,næv
feisteán,fɛɪstǽn
plánaisféar,planaːsfɛar
catastróf,katastrɔf
scrábach,skrabax
driogáit,drɔːɡaɪt
bánrua,banrʊə
scidil,skɪdɪl
ciseadóireacht,kɪsædɔɪræxt
bogaigéadaigh,bɔɡaːɡɛadaːɣ
oilte,ɪːltɛ
rinn,rɪnˠ
smeachán,smæxan
léinteoireacht,lɛɪntɔːɪræxt
seicitín,sɛɪkɪtɪn
ailgéabrach,aːlɡɛabrax
crabhaitéal,kravaːtɛal
beachtaíoch,bæxtaːɔx
fágálacht,faɡalaxt
iallchrann,ɪalˠxranˠ
pirixéin,pɪrɪxɛɪn
crocadóir,krɔkadɔɪr
ulnach,ʊlnax
réisím,rɛɪsɪm
máirtín,maɪrtɪn
purgú,pʊrɡʊ
sealbhaíocht,sælvaːɔxt
rúndráma,rʊndrama
bonnsmideadh,bɔnˠsmɪdæɣ
comhbhráithreachas,kɔvvraɪhræxas
saobhdhiallasach,saɔvɣɪalˠasax
suimiúlacht,sʊɪmɪʊlaxt
craigirlín,kraːɡɪrlɪn
claid,klaːd
scúnc,skʊnk
géarleantóir,ɡɛarlæntɔɪr
deirgín,dɛɪrɡɪn
clabhstrálaí,klavstralaː
ceimiteiripe,kɛɪmɪtɛɪrɪpɛ
comónta,kɔmɔnta
fiseagrafach,fɪsæɡrafax
méadúlacht,mɛadʊlaxt
donnfhionn,dɔnˠɔːnˠ
práisciúil,praɪskɪʊɪl
síonán,sɪɔnan
doiléire,dɪːlɛɪrɛ
stiogmach,stɔːɡmax
boilsceann,bɪːlskænˠ
frithfhórsa,frɪhɔrsa
íslitheoir,ɪslɪhɔːɪr
táirg,taɪrɡ
idirscoir,ɪdɪrskɪːr
láithreán,laɪhrǽn
silice,sɪlɪkɛ
cum,kʊm
biocáireacht,bɔːkaɪræxt
plúrán,plʊran
uimhrigh,ʊɪvrɪɣ
neamhinniúlacht,nævɪnˠɪʊlaxt
bunscríbhinn,bʊnskrɪvɪnˠ
scansáil,skansaɪl
galágó,ɡalaɡɔ
aontaobhach,aɔntaɔvax
cis,kɪs
cealaitheach,kælaːhæx
crannteorainn,kranˠtɔːraːnˠ
athscinn,ahskɪnˠ
tuilsolas,tʊɪlsɔlas
mí-oilte,mɪ-ɪːltɛ
táiríde,taɪrɪdɛ
airleacán,aːrlækan
soiléire,sɪːlɛɪrɛ
síothaigh,sɪɔhaːɣ
achoimre,axɪːmrɛ
ionfhabhtaíoch,ɔːnavtaːɔx
gráinseáil,ɡraɪnsǽɪl
scolpach,skɔlpax
margáil,marɡaɪl
dlaíóg,dlaːɔɡ
aonaránach,aɔnaranax
bunúdar,bʊnʊdar
síolghé,sɪɔlɣɛ
gobdhearg,ɡɔbɣærɡ
raitín,raːtɪn
stópa,stɔpa
scailleagánta,skaːlˠæɡanta
plandlannaí,plandlanˠaː
scineach,skɪnæx
neachtlann,næxtlanˠ
mífholláine,mɪɔlˠaɪnɛ
fritocsain,frɪtɔksaːn
suibhiscéal,sʊɪvɪskɛal
slatáil,slataɪl
beircéiliam,bɛɪrkɛɪlɪam
bánéadanach,banɛadanax
holagram,hɔlaɡram
foríseal,fɔrɪsæl
buanfhírinne,bʊənɪrɪnˠɛ
ruchall,rʊxalˠ
Acádach,akadax
siúinéireacht,sɪʊɪnɛɪræxt
oiriúnóir,ɪːrɪʊnɔɪr
garuncail,ɡarʊnkaːl
éislis,ɛɪslɪs
neamhfhorásta,nævɔrasta
múirín,mʊɪrɪn
cumasc,kʊmask
lánchaillteanas,lanxaːlˠtænas
garchabhair,ɡarxavaːr
ómrach,ɔmrax
urramú,ʊrˠamʊ
drochruthagach,drɔxrʊhaɡax
scaballach,skabalˠax
staiféalach,staːfɛalax
banastar,banastar
saoltacht,saɔltaxt
easurramach,æsʊrˠamax
sracadh,srakaɣ
blaincéad,blaːnkɛad
bunchineál,bʊnxɪnǽl
raingléireacht,raːnɡlɛɪræxt
dílseacht,dɪlsæxt
fiannachtaí,fɪanˠaxtaː
béal-líofa,bɛal-lɪɔfa
caise,kaːsɛ
blonagach,blɔnaɡax
fortún,fɔrtʊn
sonáid,sɔnaɪd
éagnach,ɛaɡnax
monandrach,mɔnandrax
dorránacht,dɔrˠanaxt
blaoscán,blaɔskan
ionadacht,ɔːnadaxt
míshibhialta,mɪhɪvɪalta
anfhurasta,anʊrasta
réamhshuite,rɛavhʊɪtɛ
peireatóinéam,pɛɪrætɔɪnɛam
ionchódóir,ɔːnxɔdɔɪr
roll,rɔlˠ
ceirtleánach,kɛɪrtlǽnax
leigearn,lɛɪɡærn
bunchostas,bʊnxɔstas
feadánach,fædanax
intín,ɪntɪn
muscrós,mʊskrɔs
muiríneadóir,mʊɪrɪnædɔɪr
dlisteanú,dlɪstænʊ
múisc,mʊɪsk
mionagadach,mɔːnaɡadax
ógh,ɔɣ
diachas,dɪaxas
mínscothach,mɪnskɔhax
drochshampla,drɔxhampla
ceannoifig,kænˠɪːfɪɡ
micriliteach,mɪkrɪlɪtæx
seanchairt,sænxaːrt
creill,krɛɪlˠ
leardha,lærɣa
brogús,brɔɡʊs
scimeach,skɪmæx
foilseachán,fɪːlsæxan
siléar,sɪlɛar
saotrún,saɔtrʊn
ráiseá,raɪsǽ
neamhchéadfach,nævxɛadfax
reophointe,rɔːfɪːntɛ
neamhchoireach,nævxɪːræx
solasmhaire,sɔlasvaːrɛ
moilliú,mɪːlˠɪʊ
saine,saːnɛ
leathchliathán,læhxlɪahan
poilcí,pɪːlkɪ
caochán,kaɔxan
cógas,kɔɡas
aiféaltas,aːfɛaltas
calbhacht,kalvaxt
ochlán,ɔxlan
pantrach,pantrax
bogadh,bɔɡaɣ
ollaigh,ɔlˠaːɣ
aithris,aːhrɪs
oighearbhacainn,ɪːɣærvakaːnˠ
rianta,rɪanta
seolbhealach,sɔːlvælax
tornádó,tɔrnadɔ
truaillitheach,trʊəːlˠɪhæx
comhláine,kɔvlaɪnɛ
boilscigh,bɪːlskɪɣ
fritreo,frɪtrɔː
breallántacht,brælˠantaxt
argóin,arɡɔɪn
pataigineach,pataːɡɪnæx
cocáil,kɔkaɪl
fad-droimneach,fad-drɪːmnæx
clochshalann,klɔxhalanˠ
slaparnach,slaparnax
raonchorn,raɔnxɔrn
rús,rʊs
cíle,kɪlɛ
díbreach,dɪbræx
maolán,maɔlan
satailt,sataːlt
mífhonn,mɪɔnˠ
morgáistí,mɔrɡaɪstɪ
adhair,aɣaːr
cumhdaitheoir,kʊvdaːhɔːɪr
taispeáint,taːspǽɪnt
slíúil,slɪʊɪl
roghbhlúire,rɔɣvlʊɪrɛ
giúlánta,ɡɪʊlanta
idirthaoideach,ɪdɪrhaɪːdæx
cúlráideacht,kʊlraɪdæxt
napachán,napaxan
eiligiach,ɛɪlɪɡɪax
strus,strʊs
coibhneasacht,kɪːvnæsaxt
meangadh,mænɡaɣ
Romanaí,rɔmanaː
droimníneacht,drɪːmnɪnæxt
blindeog,blɪndɔːɡ
seiftiú,sɛɪftɪʊ
fuascail,fʊəskaːl
aischéimnigh,aːsxɛɪmnɪɣ
míchaoithiúil,mɪxaɪːhɪʊɪl
gastacht,ɡastaxt
braicheadóir,braːxædɔɪr
sann,sanˠ
cúlchraos,kʊlxraɔs
crobhar,krɔvar
